rename,red_,0,.png,Red_,Zero,.png
rename,red_,1,,Red_,One,.png
rename,red_,2,,Red_,Two,.png
rename,red_,3,,Red_,Three,.png
rename,red_,4,,Red_,Four,.png
rename,red_,5,,Red_,Five,.png
rename,red_,6,,Red_,Six,.png
rename,red_,7,,Red_,Seven,.png
rename,red_,8,,Red_,Eight,.png
rename,red_,9,,Red_,Nine,.png
rename,red_,picker,,Red_,DrawTwo,.png
rename,red_,reverse,,Red_,Reverse,.png
rename,red_,skip,,Red_,Skip,.png
rename,blue_,0,,Blue_,Zero,.png
rename,blue_,1,,Blue_,One,.png
rename,blue_,2,,Blue_,Two,.png
rename,blue_,3,,Blue_,Three,.png
rename,blue_,4,,Blue_,Four,.png
rename,blue_,5,,Blue_,Five,.png
rename,blue_,6,,Blue_,Six,.png
rename,blue_,7,,Blue_,Seven,.png
rename,blue_,8,,Blue_,Eight,.png
rename,blue_,9,,Blue_,Nine,.png
rename,blue_,picker,,Blue_,DrawTwo,.png
rename,blue_,reverse,,Blue_,Reverse,.png
rename,blue_,skip,,Blue_,Skip,.png
rename,yellow_,0,,Yellow_,Zero,.png
rename,yellow_,1,,Yellow_,One,.png
rename,yellow_,2,,Yellow_,Two,.png
rename,yellow_,3,,Yellow_,Three,.png
rename,yellow_,4,,Yellow_,Four,.png
rename,yellow_,5,,Yellow_,Five,.png
rename,yellow_,6,,Yellow_,Six,.png
rename,yellow_,7,,Yellow_,Seven,.png
rename,yellow_,8,,Yellow_,Eight,.png
rename,yellow_,9,,Yellow_,Nine,.png
rename,yellow_,picker,,Yellow_,DrawTwo,.png
rename,yellow_,reverse,,Yellow_,Reverse,.png
rename,yellow_,skip,,Yellow_,Skip,.png
rename,green_,0,,Green_,Zero,.png
rename,green_,1,,Green_,One,.png
rename,green_,2,,Green_,Two,.png
rename,green_,3,,Green_,Three,.png
rename,green_,4,,Green_,Four,.png
rename,green_,5,,Green_,Five,.png
rename,green_,6,,Green_,Six,.png
rename,green_,7,,Green_,Seven,.png
rename,green_,8,,Green_,Eight,.png
rename,green_,9,,Green_,Nine,.png
rename,green_,picker,,Green_,DrawTwo,.png
rename,green_,reverse,,Green_,Reverse,.png
rename,green_,skip,,Green_,Skip,.png
